CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Education,Investment,Activity,Yearly Amt,Avg Daily Tax,Yearly Tax,Avg Tax Amt,Education Group
619.0,France,Female,42,2.0,0.0,1.0,1.0,1.0,10134888,1,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
608.0,Spain,Female,41,1.0,8380786.0,1.0,0.0,1.0,11254258,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
502.0,France,Female,42,8.0,1596608.0,3.0,1.0,0.0,11393157,1,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
699.0,France,Female,39,1.0,0.0,2.0,0.0,0.0,9382663,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
850.0,Spain,Female,43,2.0,12551082.0,1.0,1.0,1.0,790841,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
645.0,Spain,Male,44,8.0,11375578.0,2.0,1.0,0.0,14975671,1,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
822.0,France,Male,50,7.0,0.0,2.0,1.0,1.0,100628,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
376.0,Germany,Female,29,4.0,11504674.0,4.0,1.0,0.0,11934688,1,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
501.0,France,Male,44,4.0,14205107.0,2.0,0.0,1.0,749405,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
684.0,France,Male,27,2.0,13460388.0,1.0,1.0,1.0,7172573,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
528.0,France,Male,31,6.0,10201672.0,2.0,0.0,0.0,8018112,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
497.0,Spain,Male,24,3.0,0.0,2.0,1.0,0.0,7639001,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
476.0,France,Female,34,10.0,0.0,2.0,1.0,0.0,2626098,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
549.0,France,Female,25,5.0,0.0,2.0,0.0,0.0,19085779,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
635.0,Spain,Female,35,7.0,0.0,2.0,1.0,1.0,6595165,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
616.0,Germany,Male,45,3.0,14312941.0,2.0,0.0,1.0,6432726,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
653.0,Germany,Male,58,1.0,13260288.0,1.0,1.0,0.0,509767,1,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
549.0,Spain,Female,24,9.0,0.0,2.0,1.0,1.0,1440641,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
587.0,Spain,Male,45,6.0,0.0,1.0,0.0,0.0,15868481,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
726.0,France,Female,24,6.0,0.0,2.0,1.0,1.0,5472403,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
732.0,France,Male,41,8.0,0.0,2.0,1.0,1.0,17088617,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
636.0,Spain,Female,32,8.0,0.0,2.0,1.0,0.0,13855546,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
510.0,Spain,Female,38,4.0,0.0,1.0,1.0,0.0,11891353,1,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
669.0,France,Male,46,3.0,0.0,2.0,0.0,1.0,848775,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
846.0,France,Female,38,5.0,0.0,1.0,1.0,1.0,18761616,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
577.0,France,Male,25,3.0,0.0,2.0,0.0,1.0,12450829,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
756.0,Germany,Male,36,2.0,13681564.0,1.0,1.0,1.0,17004195,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
571.0,France,Male,44,9.0,0.0,2.0,0.0,0.0,3843335,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
574.0,Germany,Female,43,3.0,14134943.0,1.0,1.0,1.0,10018743,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
411.0,France,Male,29,0.0,5969717.0,2.0,1.0,1.0,5348321,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
591.0,Spain,Female,39,3.0,0.0,3.0,1.0,0.0,14046938,1,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
533.0,France,Male,36,7.0,853117.0,1.0,0.0,1.0,15673191,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
553.0,Germany,Male,41,9.0,11011254.0,2.0,0.0,0.0,8189881,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
520.0,Spain,Female,42,6.0,0.0,2.0,1.0,1.0,3441055,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
722.0,Spain,Female,29,9.0,0.0,2.0,1.0,1.0,14203307,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
475.0,France,Female,45,0.0,13426404.0,1.0,1.0,0.0,2782299,1,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
490.0,Spain,Male,31,3.0,14526023.0,1.0,0.0,1.0,11406677,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
804.0,Spain,Male,33,7.0,765486.0,1.0,0.0,1.0,9845345,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
850.0,France,Male,36,7.0,0.0,1.0,1.0,1.0,408129,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
582.0,Germany,Male,41,6.0,7034948.0,2.0,0.0,1.0,17807404,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
472.0,Spain,Male,40,4.0,0.0,1.0,1.0,0.0,7015422,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
465.0,France,Female,51,8.0,12252232.0,1.0,0.0,0.0,18129765,1,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
556.0,France,Female,61,2.0,11741935.0,1.0,1.0,1.0,9415383,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
834.0,France,Female,49,2.0,13139456.0,1.0,0.0,0.0,19436576,1,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
660.0,Spain,Female,61,5.0,15593111.0,1.0,1.0,1.0,15833839,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
776.0,Germany,Female,32,4.0,10942113.0,2.0,1.0,1.0,12651746,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
829.0,Germany,Female,27,9.0,11204567.0,1.0,1.0,1.0,11970821,1,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
637.0,Germany,Female,39,9.0,1378438.0,1.0,1.0,1.0,1176228,1,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
550.0,Germany,Male,38,2.0,10339138.0,1.0,0.0,1.0,9087813,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
776.0,Germany,Female,37,2.0,10376922.0,2.0,1.0,0.0,19409912,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
698.0,Germany,Male,44,10.0,11636337.0,2.0,1.0,0.0,19805916,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
585.0,Germany,Male,36,5.0,14605097.0,2.0,0.0,0.0,8642457,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
788.0,France,Female,33,5.0,0.0,2.0,0.0,0.0,11697819,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
655.0,Germany,Male,41,8.0,12556197.0,1.0,0.0,0.0,16404094,1,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
601.0,Germany,Male,42,1.0,9849572.0,1.0,1.0,0.0,4001476,1,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
619.0,France,Male,43,1.0,12521192.0,1.0,1.0,1.0,11341049,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
656.0,France,Male,45,5.0,1278644.0,1.0,1.0,0.0,8710757,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
725.0,Germany,Male,19,0.0,758882.0,1.0,0.0,0.0,4561375,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
511.0,Spain,Female,66,4.0,0.0,1.0,1.0,0.0,164311,1,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
614.0,France,Male,51,4.0,4068592.0,1.0,1.0,1.0,4677528,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
742.0,Germany,Male,35,5.0,136857.0,1.0,0.0,0.0,8450957,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
687.0,Germany,Female,27,9.0,15232888.0,2.0,0.0,0.0,12649482,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
555.0,Spain,Male,33,1.0,5608469.0,2.0,0.0,0.0,17879813,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
684.0,Spain,Male,56,8.0,7870716.0,1.0,1.0,1.0,9939836,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
603.0,Germany,Male,26,4.0,10916637.0,1.0,1.0,1.0,9284067,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
751.0,Germany,Female,36,6.0,16983146.0,2.0,1.0,1.0,2775836,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
581.0,Germany,Female,34,1.0,10163304.0,1.0,1.0,0.0,11043151,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
735.0,Germany,Male,43,10.0,12318001.0,2.0,1.0,1.0,19667328,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
661.0,Germany,Female,35,5.0,15072553.0,2.0,0.0,1.0,11365685,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
675.0,France,Female,21,8.0,9837326.0,1.0,1.0,0.0,18203,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
738.0,Germany,Male,58,2.0,13374544.0,4.0,1.0,0.0,2837386,1,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
813.0,France,Male,29,6.0,0.0,1.0,1.0,0.0,3395387,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
657.0,Spain,Female,37,0.0,16360718.0,1.0,0.0,1.0,4420355,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
604.0,Germany,Female,25,5.0,15778084.0,2.0,1.0,1.0,5842681,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
519.0,France,Male,36,9.0,0.0,2.0,0.0,1.0,1455624,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
735.0,France,Female,21,1.0,17871819.0,2.0,1.0,0.0,22388,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
664.0,France,Male,55,8.0,0.0,2.0,1.0,1.0,13916164,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
678.0,France,Female,32,9.0,0.0,1.0,1.0,1.0,14821064,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
757.0,Spain,Male,33,5.0,7725322.0,1.0,0.0,1.0,19423963,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
416.0,Germany,Female,41,10.0,12218966.0,2.0,1.0,0.0,9830161,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
665.0,France,Female,34,1.0,9664554.0,2.0,0.0,0.0,17141366,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
777.0,France,Female,32,2.0,0.0,1.0,1.0,0.0,13645819,1,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
543.0,France,Female,36,3.0,0.0,2.0,0.0,0.0,2601959,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
506.0,France,Female,34,4.0,9030762.0,1.0,1.0,1.0,15923529,0,2.100649891684719,8788.980503249459,2.199133477753708,12527.073380369939,0.6835842559573404,249.50824862522913,48.28045461023164,High school graduate
